entity_id,state,last_changed
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 63 02 26 5A 01 0C 08 0D 0E,2025-12-08T13:20:38.764Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 63 02 26 5B 01 0C 08 0D 0E,2025-12-08T13:20:44.196Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 62 02 26 5B 01 0C 08 0D 0E,2025-12-08T13:20:53.743Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 61 02 26 5B 01 0C 08 0D 0E,2025-12-08T13:21:18.802Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 62 02 26 5B 01 0C 08 0D 0E,2025-12-08T13:21:23.759Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 61 02 26 5B 01 0C 08 0D 0F,2025-12-08T13:21:28.761Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 61 02 26 5C 01 0C 08 0D 0F,2025-12-08T13:21:33.767Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 61 02 26 5B 01 0C 08 0D 0F,2025-12-08T13:21:38.772Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 61 02 26 5C 01 0C 08 0D 0F,2025-12-08T13:21:44.926Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 60 02 26 5C 01 0C 08 0D 0F,2025-12-08T13:21:53.776Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5F 02 26 5C 01 0C 08 0D 0F,2025-12-08T13:22:18.821Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5F 02 26 5C 01 0C 08 0D 10,2025-12-08T13:22:28.795Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5E 02 26 5C 01 0C 08 0D 10,2025-12-08T13:22:48.824Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5E 02 26 5B 01 0C 08 0D 10,2025-12-08T13:23:03.808Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5E 02 27 5C 01 0C 08 0D 10,2025-12-08T13:23:08.812Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5E 02 26 5C 01 0C 08 0D 10,2025-12-08T13:23:18.827Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5D 02 27 5C 01 0C 08 0D 10,2025-12-08T13:23:23.841Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5D 02 27 5C 01 0C 08 0D 11,2025-12-08T13:23:28.858Z
